_id,time,sn,model,firmware,fw_major_version,major_version,major_verion,daemon,category,target,coredump,action,mode,type,count,status,apply_rule,infection_status,message,message_normalized,jira-id,count,related-jira-id,ITS-jira-id,ITS-related-jira-id
bJwZjZ0B-8X4TfSgfZZW,2026-04-13T18:45:12+0100,S252L19100948,USG FLEX 200H,1.38(ABWV.0),,1.38,,isc-worker0000,infection checker,/db/etc/zyxel/ftp/tmp/coredump/260413-184509_1.38p0_ABWV#isc-worker0000#14300.libdhcp.1ae14.libdhcp.7880.libdhcp.core.zip,,0,1,1,1,normal,,,"The unsafe file=/db/etc/zyxel/ftp/tmp/coredump/260413-184509_1.38p0_ABWV#isc-worker0000#14300.libdhcp.1ae14.libdhcp.7880.libdhcp.core.zip(CREATE), has been added, pid=12954(coreDumpCompres), ppid=12826(coreDumpCompres), cmdline=""/bin/sh /usr/bin/coreDumpCompress.sh isc-worker0000.core !compress!usr!sbin!dhcpd""","The unsafe file=/db/etc/zyxel/ftp/tmp/coredump/260413-184509_1.38p0_ABWV#isc-worker0000#14300.libdhcp.1ae14.libdhcp.7880.libdhcp.core.zip(CREATE), has been added, pid=12954(coreDumpCompres), ppid=12826(coreDumpCompres), cmdline=""/bin/sh /usr/bin/coreDumpCompress.sh isc-worker0000.core !compress!usr!sbin!dhcpd""",ZNGA-10005,1,,,
EqrIqZ0B-8X4TfSgjLlh,2026-04-15T07:35:37+0200,S252L30100055,USG FLEX 500H,1.38(ABZH.0),,1.38,,fp-rte,infection checker,/db/etc/zyxel/ftp/tmp/coredump/260415-073537_1.38p0_ABZH#fp-rte#no-key.core.zip,,0,1,1,3,,,,"The unsafe file=/db/etc/zyxel/ftp/tmp/coredump/260415-073537_1.38p0_ABZH#fp-rte#no-key.core.zip(CREATE), has been added, pid=18358(coreDumpCompres), ppid=18348(coreDumpCompres), cmdline=""/bin/sh /usr/bin/coreDumpCompress.sh fp-rte:3.core !compress!usr!bin!fp-rte""","The unsafe file=/db/etc/zyxel/ftp/tmp/coredump/260415-073537_1.38p0_ABZH#fp-rte#no-key.core.zip(CREATE), has been added, pid=18358(coreDumpCompres), ppid=18348(coreDumpCompres), cmdline=""/bin/sh /usr/bin/coreDumpCompress.sh fp-rte:3.core !compress!usr!bin!fp-rte""",ZNGA-10011,3,,,
SKi-qZ0B-8X4TfSgxWfJ,2026-04-15T15:59:58+0200,S252L07102690,USG FLEX 100H,1.38(ABXF.0),,1.38,,nc-cli,infection checker,/db/etc/zyxel/ftp/tmp/coredump/260415-155955_1.38p0_ABXF#nc-cli#157fc.libedit.core.zip,,0,1,1,1,,,,"The unsafe file=/db/etc/zyxel/ftp/tmp/coredump/260415-155955_1.38p0_ABXF#nc-cli#157fc.libedit.core.zip(CREATE), has been added, pid=2858(coreDumpCompres), ppid=2787(coreDumpCompres), cmdline=""/bin/sh /usr/bin/coreDumpCompress.sh nc-cli.core !compress!usr!bin!nc-cli""","The unsafe file=/db/etc/zyxel/ftp/tmp/coredump/260415-155955_1.38p0_ABXF#nc-cli#157fc.libedit.core.zip(CREATE), has been added, pid=2858(coreDumpCompres), ppid=2787(coreDumpCompres), cmdline=""/bin/sh /usr/bin/coreDumpCompress.sh nc-cli.core !compress!usr!bin!nc-cli""",ZNGA-10012,1,,,
da14qp0B-8X4TfSgUG1U,2026-04-15T07:07:31-1000,S232L16102724,USG FLEX 200H,1.38(ABWV.0),,1.38,,fp-rte,infection checker,/db/etc/zyxel/ftp/tmp/coredump/260415-070731_1.38p0_ABWV#fp-rte#no-key.core.zip,,0,1,1,1,,,,"The unsafe file=/db/etc/zyxel/ftp/tmp/coredump/260415-070731_1.38p0_ABWV#fp-rte#no-key.core.zip(CREATE), has been added, pid=3965(coreDumpCompres), ppid=3954(coreDumpCompres), cmdline=""/bin/sh /usr/bin/coreDumpCompress.sh fp-rte:3.core !compress!usr!bin!fp-rte""","The unsafe file=/db/etc/zyxel/ftp/tmp/coredump/260415-070731_1.38p0_ABWV#fp-rte#no-key.core.zip(CREATE), has been added, pid=3965(coreDumpCompres), ppid=3954(coreDumpCompres), cmdline=""/bin/sh /usr/bin/coreDumpCompress.sh fp-rte:3.core !compress!usr!bin!fp-rte""",,1,ZNGA-10011,,
fK14qp0B-8X4TfSgUG1t,2026-04-15T07:09:53-1000,S232L16102724,USG FLEX 200H,1.38(ABWV.0),,1.38,,fp-rte,infection checker,/db/etc/zyxel/ftp/tmp/coredump/260415-070731_1.38p0_ABWV#fp-rte#464.libfp-ips.core.zip,,0,1,1,2,,,,"The unsafe file=/db/etc/zyxel/ftp/tmp/coredump/260415-070731_1.38p0_ABWV#fp-rte#464.libfp-ips.core.zip(CREATE), has been added, pid=9375(coreDumpCompres), ppid=3954(coreDumpCompres), cmdline=""/bin/sh /usr/bin/coreDumpCompress.sh fp-rte:3.core !compress!usr!bin!fp-rte""","The unsafe file=/db/etc/zyxel/ftp/tmp/coredump/260415-070731_1.38p0_ABWV#fp-rte#464.libfp-ips.core.zip(CREATE), has been added, pid=9375(coreDumpCompres), ppid=3954(coreDumpCompres), cmdline=""/bin/sh /usr/bin/coreDumpCompress.sh fp-rte:3.core !compress!usr!bin!fp-rte""",ZNGA-10013,2,,,
9ax1qp0B-8X4TfSgWLWi,2026-04-16T13:46:03+0200,S222L03101250,USG FLEX 100H,1.38(ABXF.0),,1.38,,ncagent,infection checker,/db/etc/zyxel/ftp/tmp/coredump/260416-134600_1.38p0_ABXF#ncagent#5a680.libc.4018.core.zip,,0,1,1,1,,,,"The unsafe file=/db/etc/zyxel/ftp/tmp/coredump/260416-134600_1.38p0_ABXF#ncagent#5a680.libc.4018.core.zip(CREATE), has been added, pid=24966(coreDumpCompres), ppid=24902(coreDumpCompres), cmdline=""/bin/sh /usr/bin/coreDumpCompress.sh ncagent.core !compress!usr!sbin!ncagent""","The unsafe file=/db/etc/zyxel/ftp/tmp/coredump/260416-134600_1.38p0_ABXF#ncagent#5a680.libc.4018.core.zip(CREATE), has been added, pid=24966(coreDumpCompres), ppid=24902(coreDumpCompres), cmdline=""/bin/sh /usr/bin/coreDumpCompress.sh ncagent.core !compress!usr!sbin!ncagent""",ZNGA-10014,1,,,
CrOzqp0B-8X4TfSgkowB,2026-04-18T00:11:01+0200,S252L19100879,USG FLEX 200H,1.38(ABWV.0),,1.38,,W,infection checker,/db/etc/zyxel/ftp/tmp/coredump/260418-001056_1.38p0_ABWV#W#04#4870.libhtp.b7e8.libhtp.101860.suricata.115aa4.suricata.core.zip,,0,1,1,1,,,,"The unsafe file=/db/etc/zyxel/ftp/tmp/coredump/260418-001056_1.38p0_ABWV#W#04#4870.libhtp.b7e8.libhtp.101860.suricata.115aa4.suricata.core.zip(CREATE), has been added, pid=10934(coreDumpCompres), ppid=10842(coreDumpCompres), cmdline=""/bin/sh /usr/bin/coreDumpCompress.sh W#04.core !compress!usr!bin!suricata""","The unsafe file=/db/etc/zyxel/ftp/tmp/coredump/260418-001056_1.38p0_ABWV#W#04#4870.libhtp.b7e8.libhtp.101860.suricata.115aa4.suricata.core.zip(CREATE), has been added, pid=10934(coreDumpCompres), ppid=10842(coreDumpCompres), cmdline=""/bin/sh /usr/bin/coreDumpCompress.sh W#04.core !compress!usr!bin!suricata""",ZNGA-10015,1,,,
1rj1qp0B-8X4TfSgFmtr,2026-04-18T06:41:23+0200,S242L44100639,USG FLEX 200H,1.38(ABWV.0),,1.38,,python3,infection checker,/db/etc/zyxel/ftp/tmp/coredump/260418-064117_1.38p0_ABWV#python3#19e870.libpython3.8.core.zip,,0,1,1,1,,,,"The unsafe file=/db/etc/zyxel/ftp/tmp/coredump/260418-064117_1.38p0_ABWV#python3#19e870.libpython3.8.core.zip(CREATE), has been added, pid=6332(coreDumpCompres), ppid=6220(coreDumpCompres), cmdline=""/bin/sh /usr/bin/coreDumpCompress.sh python3.core !compress!usr!bin!python3.8""","The unsafe file=/db/etc/zyxel/ftp/tmp/coredump/260418-064117_1.38p0_ABWV#python3#19e870.libpython3.8.core.zip(CREATE), has been added, pid=6332(coreDumpCompres), ppid=6220(coreDumpCompres), cmdline=""/bin/sh /usr/bin/coreDumpCompress.sh python3.core !compress!usr!bin!python3.8""",ZNGA-10016,1,,,
M7bsqp0B-8X4TfSgIEOb,2026-04-18T11:04:05+0200,S252L30100055,USG FLEX 500H,1.38(ABZH.0),,1.38,,fp-rte,infection checker,/db/etc/zyxel/ftp/tmp/coredump/260418-110330_1.38p0_ABZH#fp-rte#ec3a1c.ec3c14.ec5c9c.ec7ad4.core.zip,,0,1,1,1,,,,"The unsafe file=/db/etc/zyxel/ftp/tmp/coredump/260418-110330_1.38p0_ABZH#fp-rte#ec3a1c.ec3c14.ec5c9c.ec7ad4.core.zip(CREATE), has been added, pid=11195(coreDumpCompres), ppid=8902(coreDumpCompres), cmdline=""/bin/sh /usr/bin/coreDumpCompress.sh fp-rte:2.core !compress!usr!bin!fp-rte""","The unsafe file=/db/etc/zyxel/ftp/tmp/coredump/260418-110330_1.38p0_ABZH#fp-rte#ec3a1c.ec3c14.ec5c9c.ec7ad4.core.zip(CREATE), has been added, pid=11195(coreDumpCompres), ppid=8902(coreDumpCompres), cmdline=""/bin/sh /usr/bin/coreDumpCompress.sh fp-rte:2.core !compress!usr!bin!fp-rte""",ZNGA-10017,1,,,
SqrJqZ0B-8X4TfSgMeKR,2026-04-14T03:40:32+0200,S232L08100156,USG FLEX 700H,1.38(ABZI.0),,1.38,,W,infection checker,/db/etc/zyxel/ftp/tmp/coredump/260414-034029_1.38p0_ABZI#W#03#4a74.libhtp.b7bc.libhtp.101860.suricata.115aa4.suricata.core.zip,,0,1,1,1,,,,"The unsafe file=/db/etc/zyxel/ftp/tmp/coredump/260414-034029_1.38p0_ABZI#W#03#4a74.libhtp.b7bc.libhtp.101860.suricata.115aa4.suricata.core.zip(CREATE), has been added, pid=19549(coreDumpCompres), ppid=19512(coreDumpCompres), cmdline=""/bin/sh /usr/bin/coreDumpCompress.sh W#03.core !compress!usr!bin!suricata""","The unsafe file=/db/etc/zyxel/ftp/tmp/coredump/260414-034029_1.38p0_ABZI#W#03#4a74.libhtp.b7bc.libhtp.101860.suricata.115aa4.suricata.core.zip(CREATE), has been added, pid=19549(coreDumpCompres), ppid=19512(coreDumpCompres), cmdline=""/bin/sh /usr/bin/coreDumpCompress.sh W#03.core !compress!usr!bin!suricata""",ZNGA-10018,1,,,
